chart_week,title,performer,wks_on_chart
6/29/2024,Please Please Please,Sabrina Carpenter,2
6/29/2024,I Had Some Help,Post Malone Featuring Morgan Wallen,6
6/29/2024,A Bar Song (Tipsy),Shaboozey,10
6/29/2024,Espresso,Sabrina Carpenter,10
6/29/2024,Million Dollar Baby,Tommy Richman,8
6/29/2024,Not Like Us,Kendrick Lamar,7
6/29/2024,Too Sweet,Hozier,13
6/29/2024,Beautiful Things,Benson Boone,22
6/29/2024,Lose Control,Teddy Swims,45
6/29/2024,Birds Of A Feather,Billie Eilish,5
6/22/2024,I Had Some Help,Post Malone Featuring Morgan Wallen,5
6/22/2024,Please Please Please,Sabrina Carpenter,1
6/22/2024,Espresso,Sabrina Carpenter,9
6/22/2024,A Bar Song (Tipsy),Shaboozey,9
6/22/2024,Million Dollar Baby,Tommy Richman,7
6/22/2024,Not Like Us,Kendrick Lamar,6
6/22/2024,Too Sweet,Hozier,12
6/22/2024,Houdini,Eminem,2
6/22/2024,Birds Of A Feather,Billie Eilish,4
6/22/2024,Lose Control,Teddy Swims,44
6/15/2024,I Had Some Help,Post Malone Featuring Morgan Wallen,4
6/15/2024,Houdini,Eminem,1
6/15/2024,Million Dollar Baby,Tommy Richman,6
6/15/2024,A Bar Song (Tipsy),Shaboozey,8
6/15/2024,Not Like Us,Kendrick Lamar,5
6/15/2024,Espresso,Sabrina Carpenter,8
6/15/2024,Too Sweet,Hozier,11
6/15/2024,Lose Control,Teddy Swims,43
6/15/2024,Beautiful Things,Benson Boone,20
6/15/2024,Pink Skies,Zach Bryan,2
6/8/2024,I Had Some Help,Post Malone Featuring Morgan Wallen,3
6/8/2024,Not Like Us,Kendrick Lamar,4
6/8/2024,Million Dollar Baby,Tommy Richman,5
6/8/2024,A Bar Song (Tipsy),Shaboozey,7
6/8/2024,Espresso,Sabrina Carpenter,7
6/8/2024,Pink Skies,Zach Bryan,1
6/8/2024,Lose Control,Teddy Swims,42
6/8/2024,Too Sweet,Hozier,10
6/8/2024,Beautiful Things,Benson Boone,19
6/8/2024,Lunch,Billie Eilish,2
6/1/2024,I Had Some Help,Post Malone Featuring Morgan Wallen,2
6/1/2024,Not Like Us,Kendrick Lamar,3
6/1/2024,Million Dollar Baby,Tommy Richman,4
6/1/2024,A Bar Song (Tipsy),Shaboozey,6
6/1/2024,Lunch,Billie Eilish,1
6/1/2024,Espresso,Sabrina Carpenter,6
6/1/2024,Lose Control,Teddy Swims,41
6/1/2024,Beautiful Things,Benson Boone,18
6/1/2024,Too Sweet,Hozier,9
6/1/2024,Fortnight,Taylor Swift Featuring Post Malone,5
5/25/2024,I Had Some Help,Post Malone Featuring Morgan Wallen,1
5/25/2024,Not Like Us,Kendrick Lamar,2
5/25/2024,Million Dollar Baby,Tommy Richman,3
5/25/2024,A Bar Song (Tipsy),Shaboozey,5
5/25/2024,Beautiful Things,Benson Boone,17
5/25/2024,Lose Control,Teddy Swims,40
5/25/2024,Like That,"Future, Metro Boomin & Kendrick Lamar",8
5/25/2024,Fortnight,Taylor Swift Featuring Post Malone,4
5/25/2024,Espresso,Sabrina Carpenter,5
5/25/2024,Too Sweet,Hozier,8
5/18/2024,Not Like Us,Kendrick Lamar,1
5/18/2024,Million Dollar Baby,Tommy Richman,2
5/18/2024,Euphoria,Kendrick Lamar,2
5/18/2024,Fortnight,Taylor Swift Featuring Post Malone,3
5/18/2024,A Bar Song (Tipsy),Shaboozey,4
5/18/2024,Like That,"Future, Metro Boomin & Kendrick Lamar",7
5/18/2024,Family Matters,Drake,1
5/18/2024,Espresso,Sabrina Carpenter,4
5/18/2024,Beautiful Things,Benson Boone,16
5/18/2024,Lose Control,Teddy Swims,39
5/11/2024,Fortnight,Taylor Swift Featuring Post Malone,2
5/11/2024,Million Dollar Baby,Tommy Richman,1
5/11/2024,A Bar Song (Tipsy),Shaboozey,3
5/11/2024,Espresso,Sabrina Carpenter,3
5/11/2024,Beautiful Things,Benson Boone,15
5/11/2024,Lose Control,Teddy Swims,38
5/11/2024,Too Sweet,Hozier,6
5/11/2024,Like That,"Future, Metro Boomin & Kendrick Lamar",6
5/11/2024,I Can Do It With A Broken Heart,Taylor Swift,2
5/11/2024,Down Bad,Taylor Swift,2
5/4/2024,Fortnight,Taylor Swift Featuring Post Malone,1
5/4/2024,Down Bad,Taylor Swift,1
5/4/2024,I Can Do It With A Broken Heart,Taylor Swift,1
5/4/2024,The Tortured Poets Department,Taylor Swift,1
5/4/2024,"So Long, London",Taylor Swift,1
5/4/2024,My Boy Only Breaks His Favorite Toys,Taylor Swift,1
5/4/2024,But Daddy I Love Him,Taylor Swift,1
5/4/2024,Florida!!!,Taylor Swift Featuring Florence + The Machine,1
5/4/2024,Who's Afraid Of Little Old Me?,Taylor Swift,1
5/4/2024,Guilty As Sin?,Taylor Swift,1
4/27/2024,Too Sweet,Hozier,4
4/27/2024,Like That,"Future, Metro Boomin & Kendrick Lamar",4
4/27/2024,Beautiful Things,Benson Boone,13
4/27/2024,Lose Control,Teddy Swims,36
4/27/2024,Texas Hold 'Em,Beyonce,10
4/27/2024,Lovin On Me,Jack Harlow,23
4/27/2024,Espresso,Sabrina Carpenter,1
4/27/2024,We Can't Be Friends (Wait For Your Love),Ariana Grande,6
4/27/2024,Stick Season,Noah Kahan,29
4/27/2024,Saturn,SZA,8
4/20/2024,Like That,"Future, Metro Boomin & Kendrick Lamar",3
4/20/2024,Too Sweet,Hozier,3
4/20/2024,Beautiful Things,Benson Boone,12
4/20/2024,Lose Control,Teddy Swims,35
4/20/2024,Texas Hold 'Em,Beyonce,9
4/20/2024,7 Minute Drill,J. Cole,1
4/20/2024,Lovin On Me,Jack Harlow,22
4/20/2024,We Can't Be Friends (Wait For Your Love),Ariana Grande,5
4/20/2024,Type Shit,"Future, Metro Boomin, Travis Scott & Playboi Carti",3
4/20/2024,Stick Season,Noah Kahan,28
4/13/2024,Like That,"Future, Metro Boomin & Kendrick Lamar",2
4/13/2024,Texas Hold 'Em,Beyonce,8
4/13/2024,Beautiful Things,Benson Boone,11
4/13/2024,Too Sweet,Hozier,2
4/13/2024,Lose Control,Teddy Swims,34
4/13/2024,II Most Wanted,Beyonce & Miley Cyrus,1
4/13/2024,Jolene,Beyonce,1
4/13/2024,Lovin On Me,Jack Harlow,21
4/13/2024,We Can't Be Friends (Wait For Your Love),Ariana Grande,4
4/13/2024,Type Shit,"Future, Metro Boomin, Travis Scott & Playboi Carti",2
4/6/2024,Like That,"Future, Metro Boomin & Kendrick Lamar",1
4/6/2024,Type Shit,"Future, Metro Boomin, Travis Scott & Playboi Carti",1
4/6/2024,Beautiful Things,Benson Boone,10
4/6/2024,Lose Control,Teddy Swims,33
4/6/2024,Too Sweet,Hozier,1
4/6/2024,Cinderella,"Future, Metro Boomin & Travis Scott",1
4/6/2024,Lovin On Me,Jack Harlow,20
4/6/2024,We Don't Trust You,Future & Metro Boomin,1
4/6/2024,Young Metro,"Future, Metro Boomin & The Weeknd",1
4/6/2024,We Can't Be Friends (Wait For Your Love),Ariana Grande,3
3/30/2024,Lose Control,Teddy Swims,32
3/30/2024,Beautiful Things,Benson Boone,9
3/30/2024,We Can't Be Friends (Wait For Your Love),Ariana Grande,2
3/30/2024,Lovin On Me,Jack Harlow,19
3/30/2024,Carnival,¥$: Ye & Ty Dolla $ign Featuring Rich The Kid & Playboi Carti,6
3/30/2024,Texas Hold 'Em,Beyonce,6
3/30/2024,I Remember Everything,Zach Bryan Featuring Kacey Musgraves,30
3/30/2024,Greedy,Tate McRae,27
3/30/2024,Enough (Miami),Cardi B,1
3/30/2024,Cruel Summer,Taylor Swift,46
3/23/2024,We Can't Be Friends (Wait For Your Love),Ariana Grande,1
3/23/2024,Lose Control,Teddy Swims,31
3/23/2024,Beautiful Things,Benson Boone,8
3/23/2024,Carnival,¥$: Ye & Ty Dolla $ign Featuring Rich The Kid & Playboi Carti,5
3/23/2024,Lovin On Me,Jack Harlow,18
3/23/2024,Texas Hold 'Em,Beyonce,5
3/23/2024,Act II: Date @ 8,4Batz Featuring Drake,10
3/23/2024,Greedy,Tate McRae,26
3/23/2024,I Remember Everything,Zach Bryan Featuring Kacey Musgraves,29
3/23/2024,"Yes, And?",Ariana Grande,9
3/16/2024,Carnival,¥$: Kanye West & Ty Dolla $ign Featuring Rich The Kid & Playboi Carti,4
3/16/2024,Lose Control,Teddy Swims,30
3/16/2024,Lovin On Me,Jack Harlow,17
3/16/2024,Beautiful Things,Benson Boone,7
3/16/2024,Texas Hold 'Em,Beyonce,4
3/16/2024,Greedy,Tate McRae,25
3/16/2024,I Remember Everything,Zach Bryan Featuring Kacey Musgraves,28
3/16/2024,Snooze,SZA,64
3/16/2024,Agora Hills,Doja Cat,24
3/16/2024,Cruel Summer,Taylor Swift,44
3/9/2024,Texas Hold 'Em,Beyonce,3
3/9/2024,Carnival,¥$: Kanye West & Ty Dolla $ign Featuring Rich The Kid & Playboi Carti,3
3/9/2024,Lovin On Me,Jack Harlow,16
3/9/2024,Beautiful Things,Benson Boone,6
3/9/2024,Lose Control,Teddy Swims,29
3/9/2024,Saturn,SZA,1
3/9/2024,I Remember Everything,Zach Bryan Featuring Kacey Musgraves,27
3/9/2024,Greedy,Tate McRae,24
3/9/2024,Snooze,SZA,63
3/9/2024,Cruel Summer,Taylor Swift,43
3/2/2024,Texas Hold 'Em,Beyonce,2
3/2/2024,Lovin On Me,Jack Harlow,15
3/2/2024,Lose Control,Teddy Swims,28
3/2/2024,Carnival,¥$: Kanye West & Ty Dolla $ign Featuring Rich The Kid & Playboi Carti,2
3/2/2024,Beautiful Things,Benson Boone,5
3/2/2024,Snooze,SZA,62
3/2/2024,Cruel Summer,Taylor Swift,42
3/2/2024,Greedy,Tate McRae,23
3/2/2024,I Remember Everything,Zach Bryan Featuring Kacey Musgraves,26
3/2/2024,Agora Hills,Doja Cat,22
2/24/2024,Lovin On Me,Jack Harlow,14
2/24/2024,Texas Hold 'Em,Beyonce,1
2/24/2024,Carnival,¥$: Kanye West & Ty Dolla $ign,1
2/24/2024,Beautiful Things,Benson Boone,4
2/24/2024,Lose Control,Teddy Swims,27
2/24/2024,Cruel Summer,Taylor Swift,41
2/24/2024,Snooze,SZA,61
2/24/2024,I Remember Everything,Zach Bryan Featuring Kacey Musgraves,25
2/24/2024,Greedy,Tate McRae,22
2/24/2024,Stick Season,Noah Kahan,20
2/17/2024,Lovin On Me,Jack Harlow,13
2/17/2024,Lose Control,Teddy Swims,26
2/17/2024,Beautiful Things,Benson Boone,3
2/17/2024,Cruel Summer,Taylor Swift,40
2/17/2024,Snooze,SZA,60
2/17/2024,I Remember Everything,Zach Bryan Featuring Kacey Musgraves,24
2/17/2024,Greedy,Tate McRae,21
2/17/2024,Fast Car,Luke Combs,46
2/17/2024,Agora Hills,Doja Cat,20
2/17/2024,Flowers,Miley Cyrus,51
2/10/2024,Hiss,Megan Thee Stallion,1
2/10/2024,Lovin On Me,Jack Harlow,12
2/10/2024,Cruel Summer,Taylor Swift,39
2/10/2024,Lose Control,Teddy Swims,25
2/10/2024,Greedy,Tate McRae,20
2/10/2024,I Remember Everything,Zach Bryan Featuring Kacey Musgraves,23
2/10/2024,Agora Hills,Doja Cat,19
2/10/2024,Beautiful Things,Benson Boone,2
2/10/2024,Redrum,21 Savage,3
2/10/2024,Snooze,SZA,59
2/3/2024,Lovin On Me,Jack Harlow,11
2/3/2024,Cruel Summer,Taylor Swift,38
2/3/2024,Greedy,Tate McRae,19
2/3/2024,Lose Control,Teddy Swims,24
2/3/2024,I Remember Everything,Zach Bryan Featuring Kacey Musgraves,22
2/3/2024,"Yes, And?",Ariana Grande,2
2/3/2024,Agora Hills,Doja Cat,18
2/3/2024,Paint The Town Red,Doja Cat,25
2/3/2024,Snooze,SZA,58
2/3/2024,Redrum,21 Savage,2
1/27/2024,"Yes, And?",Ariana Grande,1
1/27/2024,Lovin On Me,Jack Harlow,10
1/27/2024,Cruel Summer,Taylor Swift,37
1/27/2024,Greedy,Tate McRae,18
1/27/2024,Redrum,21 Savage,1
1/27/2024,I Remember Everything,Zach Bryan Featuring Kacey Musgraves,21
1/27/2024,Paint The Town Red,Doja Cat,24
1/27/2024,Lose Control,Teddy Swims,23
1/27/2024,Snooze,SZA,57
1/27/2024,Nee-nah,"21 Savage, Travis Scott & Metro Boomin",1
1/20/2024,Lovin On Me,Jack Harlow,9
1/20/2024,Cruel Summer,Taylor Swift,36
1/20/2024,Greedy,Tate McRae,17
1/20/2024,I Remember Everything,Zach Bryan Featuring Kacey Musgraves,20
1/20/2024,Paint The Town Red,Doja Cat,23
1/20/2024,Snooze,SZA,56
1/20/2024,Water,Tyla,15
1/20/2024,Lose Control,Teddy Swims,22
1/20/2024,Agora Hills,Doja Cat,16
1/20/2024,Last Night,Morgan Wallen,50
1/13/2024,Lovin On Me,Jack Harlow,8
1/13/2024,Cruel Summer,Taylor Swift,35
1/13/2024,Greedy,Tate McRae,16
1/13/2024,Paint The Town Red,Doja Cat,22
1/13/2024,I Remember Everything,Zach Bryan Featuring Kacey Musgraves,19
1/13/2024,Snooze,SZA,55
1/13/2024,Water,Tyla,14
1/13/2024,Last Night,Morgan Wallen,49
1/13/2024,Fast Car,Luke Combs,41
1/13/2024,Agora Hills,Doja Cat,15
1/6/2024,Rockin' Around The Christmas Tree,Brenda Lee,58
1/6/2024,All I Want For Christmas Is You,Mariah Carey,65
1/6/2024,Jingle Bell Rock,Bobby Helms,56
1/6/2024,Last Christmas,Wham!,38
1/6/2024,A Holly Jolly Christmas,Burl Ives,39
1/6/2024,It's The Most Wonderful Time Of The Year,Andy Williams,39
1/6/2024,"Let It Snow, Let It Snow, Let It Snow!",Dean Martin,31
1/6/2024,Feliz Navidad,Jose Feliciano,32
1/6/2024,Lovin On Me,Jack Harlow,7
1/6/2024,Sleigh Ride,The Ronettes,28
12/30/2023,All I Want For Christmas Is You,Mariah Carey,64
12/30/2023,Rockin' Around The Christmas Tree,Brenda Lee,57
12/30/2023,Jingle Bell Rock,Bobby Helms,55
12/30/2023,Last Christmas,Wham!,37
12/30/2023,A Holly Jolly Christmas,Burl Ives,38
12/30/2023,Lovin On Me,Jack Harlow,6
12/30/2023,It's The Most Wonderful Time Of The Year,Andy Williams,38
12/30/2023,"Let It Snow, Let It Snow, Let It Snow!",Dean Martin,30
12/30/2023,Feliz Navidad,Jose Feliciano,31
12/30/2023,Sleigh Ride,The Ronettes,27
12/23/2023,All I Want For Christmas Is You,Mariah Carey,63
12/23/2023,Rockin' Around The Christmas Tree,Brenda Lee,56
12/23/2023,Jingle Bell Rock,Bobby Helms,54
12/23/2023,Last Christmas,Wham!,36
12/23/2023,A Holly Jolly Christmas,Burl Ives,37
12/23/2023,Lovin On Me,Jack Harlow,5
12/23/2023,It's The Most Wonderful Time Of The Year,Andy Williams,37
12/23/2023,Sleigh Ride,The Ronettes,26
12/23/2023,Greedy,Tate McRae,13
12/23/2023,"Let It Snow, Let It Snow, Let It Snow!",Dean Martin,29
12/16/2023,Rockin' Around The Christmas Tree,Brenda Lee,55
12/16/2023,All I Want For Christmas Is You,Mariah Carey,62
12/16/2023,Jingle Bell Rock,Bobby Helms,53
12/16/2023,Last Christmas,Wham!,35
12/16/2023,Lovin On Me,Jack Harlow,4
12/16/2023,A Holly Jolly Christmas,Burl Ives,36
12/16/2023,Cruel Summer,Taylor Swift,31
12/16/2023,It's The Most Wonderful Time Of The Year,Andy Williams,36
12/16/2023,Snooze,SZA,52
12/16/2023,Paint The Town Red,Doja Cat,18
12/9/2023,Rockin' Around The Christmas Tree,Brenda Lee,54
12/9/2023,All I Want For Christmas Is You,Mariah Carey,61
12/9/2023,Lovin On Me,Jack Harlow,3
12/9/2023,Jingle Bell Rock,Bobby Helms,52
12/9/2023,Last Christmas,Wham!,34
12/9/2023,A Holly Jolly Christmas,Burl Ives,35
12/9/2023,Cruel Summer,Taylor Swift,30
12/9/2023,Paint The Town Red,Doja Cat,17
12/9/2023,Snooze,SZA,51
12/9/2023,It's The Most Wonderful Time Of The Year,Andy Williams,35
12/2/2023,Lovin On Me,Jack Harlow,2
12/2/2023,Cruel Summer,Taylor Swift,29
12/2/2023,Paint The Town Red,Doja Cat,16
12/2/2023,All I Want For Christmas Is You,Mariah Carey,60
12/2/2023,Snooze,SZA,50
12/2/2023,I Remember Everything,Zach Bryan Featuring Kacey Musgraves,13
12/2/2023,Greedy,Tate McRae,10
12/2/2023,Rockin' Around The Christmas Tree,Brenda Lee,53
12/2/2023,Is It Over Now? (Taylor's Version) [From The Vault],Taylor Swift,4
12/2/2023,Water,Tyla,8
11/25/2023,Cruel Summer,Taylor Swift,28
11/25/2023,Lovin On Me,Jack Harlow,1
11/25/2023,Paint The Town Red,Doja Cat,15
11/25/2023,Snooze,SZA,49
11/25/2023,Is It Over Now? (Taylor's Version) [From The Vault],Taylor Swift,3
11/25/2023,I Remember Everything,Zach Bryan Featuring Kacey Musgraves,12
11/25/2023,Fast Car,Luke Combs,34
11/25/2023,Greedy,Tate McRae,9
11/25/2023,Last Night,Morgan Wallen,42
11/25/2023,Thinkin' Bout Me,Morgan Wallen,37
11/18/2023,Cruel Summer,Taylor Swift,27
11/18/2023,Paint The Town Red,Doja Cat,14
11/18/2023,Is It Over Now? (Taylor's Version) [From The Vault],Taylor Swift,2
11/18/2023,Snooze,SZA,48
11/18/2023,Standing Next To You,Jung Kook,1
11/18/2023,I Remember Everything,Zach Bryan Featuring Kacey Musgraves,11
11/18/2023,Now And Then,The Beatles,1
11/18/2023,Fast Car,Luke Combs,33
11/18/2023,Thinkin' Bout Me,Morgan Wallen,36
11/18/2023,Last Night,Morgan Wallen,41
11/11/2023,Is It Over Now? (Taylor's Version) [From The Vault],Taylor Swift,1
11/11/2023,Now That We Don't Talk (Taylor's Version) [From The Vault],Taylor Swift,1
11/11/2023,Slut! (Taylor's Version) [From The Vault],Taylor Swift,1
11/11/2023,Paint The Town Red,Doja Cat,13
11/11/2023,Say Don't Go (Taylor's Version) [From The Vault],Taylor Swift,1
11/11/2023,Cruel Summer,Taylor Swift,26
11/11/2023,Bad Blood (Taylor's Version),Taylor Swift,1
11/11/2023,Snooze,SZA,47
11/11/2023,Style (Taylor's Version),Taylor Swift,1
11/11/2023,Suburban Legends (Taylor's Version) [From The Vault],Taylor Swift,1
11/4/2023,Cruel Summer,Taylor Swift,25
11/4/2023,Paint The Town Red,Doja Cat,12
11/4/2023,Snooze,SZA,46
11/4/2023,I Remember Everything,Zach Bryan Featuring Kacey Musgraves,9
11/4/2023,Fast Car,Luke Combs,31
11/4/2023,Last Night,Morgan Wallen,39
11/4/2023,Thinkin' Bout Me,Morgan Wallen,34
11/4/2023,IDGAF,Drake Featuring Yeat,3
11/4/2023,Monaco,Bad Bunny,2
11/4/2023,Fukumean,Gunna,19
10/28/2023,Cruel Summer,Taylor Swift,24
10/28/2023,Paint The Town Red,Doja Cat,11
10/28/2023,Snooze,SZA,45
10/28/2023,IDGAF,Drake Featuring Yeat,2
10/28/2023,Monaco,Bad Bunny,1
10/28/2023,I Remember Everything,Zach Bryan Featuring Kacey Musgraves,8
10/28/2023,Fast Car,Luke Combs,30
10/28/2023,First Person Shooter,Drake Featuring J. Cole,2
10/28/2023,Last Night,Morgan Wallen,38
10/28/2023,Thinkin' Bout Me,Morgan Wallen,33
10/21/2023,First Person Shooter,Drake Featuring J. Cole,1
10/21/2023,IDGAF,Drake Featuring Yeat,1
10/21/2023,Virginia Beach,Drake,1
10/21/2023,Paint The Town Red,Doja Cat,10
10/21/2023,Calling For You,Drake Featuring 21 Savage,1
10/21/2023,Slime You Out,Drake Featuring SZA,4
10/21/2023,Snooze,SZA,44
10/21/2023,Daylight,Drake,1
10/21/2023,Cruel Summer,Taylor Swift,23
10/21/2023,Fear Of Heights,Drake,1
10/14/2023,Paint The Town Red,Doja Cat,9
10/14/2023,Snooze,SZA,43
10/14/2023,Cruel Summer,Taylor Swift,22
10/14/2023,Fast Car,Luke Combs,28
10/14/2023,3D,Jung Kook & Jack Harlow,1
10/14/2023,I Remember Everything,Zach Bryan Featuring Kacey Musgraves,6
10/14/2023,Last Night,Morgan Wallen,36
10/14/2023,Fukumean,Gunna,16
10/14/2023,Vampire,Olivia Rodrigo,14
10/14/2023,Calm Down,Rema & Selena Gomez,57
10/7/2023,Paint The Town Red,Doja Cat,8
10/7/2023,Snooze,SZA,42
10/7/2023,Fast Car,Luke Combs,27
10/7/2023,Cruel Summer,Taylor Swift,21
10/7/2023,I Remember Everything,Zach Bryan Featuring Kacey Musgraves,5
10/7/2023,Last Night,Morgan Wallen,35
10/7/2023,Vampire,Olivia Rodrigo,13
10/7/2023,Fukumean,Gunna,15
10/7/2023,Calm Down,Rema & Selena Gomez,56
10/7/2023,Dance The Night,Dua Lipa,18
9/30/2023,Slime You Out,Drake Featuring SZA,1
9/30/2023,Paint The Town Red,Doja Cat,7
9/30/2023,Snooze,SZA,41
9/30/2023,Fast Car,Luke Combs,26
9/30/2023,I Remember Everything,Zach Bryan Featuring Kacey Musgraves,4
9/30/2023,Cruel Summer,Taylor Swift,20
9/30/2023,Vampire,Olivia Rodrigo,12
9/30/2023,Last Night,Morgan Wallen,34
9/30/2023,Fukumean,Gunna,14
9/30/2023,Dance The Night,Dua Lipa,17
9/23/2023,Vampire,Olivia Rodrigo,11
9/23/2023,Paint The Town Red,Doja Cat,6
9/23/2023,I Remember Everything,Zach Bryan Featuring Kacey Musgraves,3
9/23/2023,Fast Car,Luke Combs,25
9/23/2023,Cruel Summer,Taylor Swift,19
9/23/2023,Last Night,Morgan Wallen,33
9/23/2023,Bad Idea Right?,Olivia Rodrigo,5
9/23/2023,Snooze,SZA,40
9/23/2023,Fukumean,Gunna,13
9/23/2023,Dance The Night,Dua Lipa,16
9/16/2023,Paint The Town Red,Doja Cat,5
9/16/2023,I Remember Everything,Zach Bryan Featuring Kacey Musgraves,2
9/16/2023,Fast Car,Luke Combs,24
9/16/2023,Cruel Summer,Taylor Swift,18
9/16/2023,Last Night,Morgan Wallen,32
9/16/2023,Dance The Night,Dua Lipa,15
9/16/2023,Snooze,SZA,39
9/16/2023,Fukumean,Gunna,12
9/16/2023,Vampire,Olivia Rodrigo,10
9/16/2023,Calm Down,Rema & Selena Gomez,53
9/9/2023,I Remember Everything,Zach Bryan Featuring Kacey Musgraves,1
9/9/2023,Fast Car,Luke Combs,23
9/9/2023,Paint The Town Red,Doja Cat,4
9/9/2023,Last Night,Morgan Wallen,31
9/9/2023,Cruel Summer,Taylor Swift,17
9/9/2023,Rich Men North Of Richmond,Oliver Anthony Music,3
9/9/2023,Snooze,SZA,38
9/9/2023,Used To Be Young,Miley Cyrus,1
9/9/2023,Dance The Night,Dua Lipa,14
9/9/2023,Fukumean,Gunna,11
9/2/2023,Rich Men North Of Richmond,Oliver Anthony Music,2
9/2/2023,Fast Car,Luke Combs,22
9/2/2023,Last Night,Morgan Wallen,30
9/2/2023,Cruel Summer,Taylor Swift,16
9/2/2023,Paint The Town Red,Doja Cat,3
9/2/2023,Calm Down,Rema & Selena Gomez,51
9/2/2023,Fukumean,Gunna,10
9/2/2023,Vampire,Olivia Rodrigo,8
9/2/2023,Dance The Night,Dua Lipa,13
9/2/2023,Barbie World,Nicki Minaj & Ice Spice With Aqua,9
8/26/2023,Rich Men North Of Richmond,Oliver Anthony Music,1
8/26/2023,Fast Car,Luke Combs,21
8/26/2023,Last Night,Morgan Wallen,29
8/26/2023,Cruel Summer,Taylor Swift,15
8/26/2023,Calm Down,Rema & Selena Gomez,50
8/26/2023,Vampire,Olivia Rodrigo,7
8/26/2023,Fukumean,Gunna,9
8/26/2023,Dance The Night,Dua Lipa,12
8/26/2023,Barbie World,Nicki Minaj & Ice Spice With Aqua,8
8/26/2023,Bad Idea Right?,Olivia Rodrigo,1
8/19/2023,Last Night,Morgan Wallen,28
8/19/2023,Fast Car,Luke Combs,20
8/19/2023,Cruel Summer,Taylor Swift,14
8/19/2023,Calm Down,Rema & Selena Gomez,49
8/19/2023,Fukumean,Gunna,8
8/19/2023,Vampire,Olivia Rodrigo,6
8/19/2023,Dance The Night,Dua Lipa,11
8/19/2023,Barbie World,Nicki Minaj & Ice Spice With Aqua,7
8/19/2023,Flowers,Miley Cyrus,30
8/19/2023,Snooze,SZA,35
8/12/2023,Last Night,Morgan Wallen,27
8/12/2023,Fast Car,Luke Combs,19
8/12/2023,Meltdown,Travis Scott Featuring Drake,1
8/12/2023,Cruel Summer,Taylor Swift,13
8/12/2023,FE!N,Travis Scott Featuring Playboi Carti,1
8/12/2023,Calm Down,Rema & Selena Gomez,48
8/12/2023,Fukumean,Gunna,7
8/12/2023,Barbie World,Nicki Minaj & Ice Spice With Aqua,6
8/12/2023,Vampire,Olivia Rodrigo,5
8/12/2023,Dance The Night,Dua Lipa,10
8/5/2023,Try That In A Small Town,Jason Aldean,2
8/5/2023,Last Night,Morgan Wallen,26
8/5/2023,Fast Car,Luke Combs,18
8/5/2023,Fukumean,Gunna,6
8/5/2023,Calm Down,Rema & Selena Gomez,47
8/5/2023,Cruel Summer,Taylor Swift,12
8/5/2023,K-POP,"Travis Scott, Bad Bunny & The Weeknd",1
8/5/2023,Barbie World,Nicki Minaj & Ice Spice With Aqua,5
8/5/2023,Seven,Jung Kook Featuring Latto,2
8/5/2023,Vampire,Olivia Rodrigo,4
7/29/2023,Seven,Jung Kook Featuring Latto,1
7/29/2023,Try That In A Small Town,Jason Aldean,1
7/29/2023,Last Night,Morgan Wallen,25
7/29/2023,Fast Car,Luke Combs,17
7/29/2023,Calm Down,Rema & Selena Gomez,46
7/29/2023,Fukumean,Gunna,5
7/29/2023,Vampire,Olivia Rodrigo,3
7/29/2023,Cruel Summer,Taylor Swift,11
7/29/2023,Flowers,Miley Cyrus,27
7/29/2023,All My Life,Lil Durk Featuring J. Cole,10
7/22/2023,Last Night,Morgan Wallen,24
7/22/2023,Fast Car,Luke Combs,16
7/22/2023,Vampire,Olivia Rodrigo,2
7/22/2023,Calm Down,Rema & Selena Gomez,45
7/22/2023,I Can See You (Taylor's Version) (From The Vault),Taylor Swift,1
7/22/2023,Flowers,Miley Cyrus,26
7/22/2023,Fukumean,Gunna,4
7/22/2023,All My Life,Lil Durk Featuring J. Cole,9
7/22/2023,Cruel Summer,Taylor Swift,10
7/22/2023,Karma,Taylor Swift Featuring Ice Spice,18
7/15/2023,Vampire,Olivia Rodrigo,1
7/15/2023,Last Night,Morgan Wallen,23
7/15/2023,Fast Car,Luke Combs,15
7/15/2023,Calm Down,Rema & Selena Gomez,44
7/15/2023,Flowers,Miley Cyrus,25
7/15/2023,All My Life,Lil Durk Featuring J. Cole,8
7/15/2023,Cruel Summer,Taylor Swift,9
7/15/2023,Fukumean,Gunna,3
7/15/2023,Karma,Taylor Swift Featuring Ice Spice,17
7/15/2023,Favorite Song,Toosii,20
7/8/2023,Last Night,Morgan Wallen,22
7/8/2023,Fast Car,Luke Combs,14
7/8/2023,Calm Down,Rema & Selena Gomez,43
7/8/2023,Flowers,Miley Cyrus,24
7/8/2023,All My Life,Lil Durk Featuring J. Cole,7
7/8/2023,Favorite Song,Toosii,19
7/8/2023,Barbie World,Nicki Minaj & Ice Spice With Aqua,1
7/8/2023,Karma,Taylor Swift Featuring Ice Spice,16
7/8/2023,Kill Bill,SZA,29
7/8/2023,Creepin',"Metro Boomin, The Weeknd & 21 Savage",30
7/1/2023,Last Night,Morgan Wallen,21
7/1/2023,Fast Car,Luke Combs,13
7/1/2023,Calm Down,Rema & Selena Gomez,42
7/1/2023,Flowers,Miley Cyrus,23
7/1/2023,All My Life,Lil Durk Featuring J. Cole,6
7/1/2023,Favorite Song,Toosii,18
7/1/2023,Karma,Taylor Swift Featuring Ice Spice,15
